date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:32	45135/45135	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:02:33%20GMT	https://colorlib.com/etc/pato/index.html	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/index.html	(from )
09:56:32	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
09:56:32	310/310	---M--	200	added ('OK')	image/png	etag:%225a185efa-54b%22	https://colorlib.com/etc/pato/images/icons/favicon.png	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/icons/favicon.png	(from https://colorlib.com/etc/pato/index.html)
09:56:32	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%225a1860c0-1e822%22	https://colorlib.com/etc/pato/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/bootstrap/css/bootstrap.min.css	(from https://colorlib.com/etc/pato/index.html)
09:56:32	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225a1860a1-7918%22	https://colorlib.com/etc/pato/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://colorlib.com/etc/pato/index.html)
09:56:33	16435/16435	---MCZ	200	added ('OK')	text/css	etag:W/%225a185f27-4033%22	https://colorlib.com/etc/pato/fonts/themify/themify-icons.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/fonts/themify/themify-icons.css	(from https://colorlib.com/etc/pato/index.html)
09:56:33	23848/23848	---MCZ	200	added ('OK')	text/css	etag:W/%225a185f32-5d28%22	https://colorlib.com/etc/pato/vendor/animate/animate.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/animate/animate.css	(from https://colorlib.com/etc/pato/index.html)
09:56:33	19686/19686	---MCZ	200	added ('OK')	text/css	etag:W/%225a185f35-4ce6%22	https://colorlib.com/etc/pato/vendor/css-hamburgers/hamburgers.min.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/css-hamburgers/hamburgers.min.css	(from https://colorlib.com/etc/pato/index.html)
09:56:33	27478/27478	---MCZ	200	added ('OK')	text/css	etag:W/%225a1860b9-6b56%22	https://colorlib.com/etc/pato/vendor/animsition/css/animsition.min.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/animsition/css/animsition.min.css	(from https://colorlib.com/etc/pato/index.html)
09:56:34	15196/15196	---MCZ	200	added ('OK')	text/css	etag:W/%225a185f44-3b5c%22	https://colorlib.com/etc/pato/vendor/select2/select2.min.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/select2/select2.min.css	(from https://colorlib.com/etc/pato/index.html)
09:56:34	8163/8163	---MCZ	200	added ('OK')	text/css	etag:W/%225a185f40-1fe3%22	https://colorlib.com/etc/pato/vendor/daterangepicker/daterangepicker.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/daterangepicker/daterangepicker.css	(from https://colorlib.com/etc/pato/index.html)
09:56:34	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%225a185f39-6f0%22	https://colorlib.com/etc/pato/vendor/slick/slick.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/slick/slick.css	(from https://colorlib.com/etc/pato/index.html)
09:56:34	2846/2846	---MCZ	200	added ('OK')	text/css	etag:W/%225a1860cf-b1e%22	https://colorlib.com/etc/pato/vendor/lightbox2/css/lightbox.min.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/lightbox2/css/lightbox.min.css	(from https://colorlib.com/etc/pato/index.html)
09:56:35	101323/101323	---MCZ	200	added ('OK')	text/css	etag:W/%225a185ebe-18bcb%22	https://colorlib.com/etc/pato/css/util.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/css/util.css	(from https://colorlib.com/etc/pato/index.html)
09:56:35	30870/30870	---MCZ	200	added ('OK')	text/css	etag:W/%225a185ebe-7896%22	https://colorlib.com/etc/pato/css/main.css	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/css/main.css	(from https://colorlib.com/etc/pato/index.html)
09:56:35	1176/1176	---M--	200	added ('OK')	image/png	etag:%225a185efa-a51%22	https://colorlib.com/etc/pato/images/icons/logo.png	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/icons/logo.png	(from https://colorlib.com/etc/pato/index.html)
09:56:35	1312/1312	---M--	200	added ('OK')	image/png	etag:%225a185efb-a70%22	https://colorlib.com/etc/pato/images/icons/logo2.png	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/icons/logo2.png	(from https://colorlib.com/etc/pato/index.html)
09:56:35	34256/34256	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:02:35%20GMT	https://colorlib.com/etc/pato/menu.html	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/menu.html	(from https://colorlib.com/etc/pato/index.html)
09:56:36	20988/20988	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:02:34%20GMT	https://colorlib.com/etc/pato/reservation.html	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/reservation.html	(from https://colorlib.com/etc/pato/index.html)
09:56:36	21299/21299	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:02:35%20GMT	https://colorlib.com/etc/pato/gallery.html	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/gallery.html	(from https://colorlib.com/etc/pato/index.html)
09:56:36	23433/23433	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:02:34%20GMT	https://colorlib.com/etc/pato/about.html	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/about.html	(from https://colorlib.com/etc/pato/index.html)
09:56:36	30153/30153	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:02:33%20GMT	https://colorlib.com/etc/pato/blog.html	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/blog.html	(from https://colorlib.com/etc/pato/index.html)
09:56:37	19940/19940	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:02:34%20GMT	https://colorlib.com/etc/pato/contact.html	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/contact.html	(from https://colorlib.com/etc/pato/index.html)
09:56:38	169302/169302	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee9-29556%22	https://colorlib.com/etc/pato/images/photo-gallery-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:38	45925/45925	---M--	200	added ('OK')	image/jpeg	etag:%225a185ef0-bb8a%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:38	43019/43019	---M--	200	added ('OK')	image/jpeg	etag:%225a185eed-ae96%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-02.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-02.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:39	149551/149551	---M--	200	added ('OK')	image/jpeg	etag:%225a185eef-2482f%22	https://colorlib.com/etc/pato/images/photo-gallery-02.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-02.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:39	117371/117371	---M--	200	added ('OK')	image/jpeg	etag:%225a185ef1-1ca7b%22	https://colorlib.com/etc/pato/images/photo-gallery-03.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-03.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:40	137088/137088	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee7-21780%22	https://colorlib.com/etc/pato/images/photo-gallery-05.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-05.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:40	38117/38117	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee1-9c57%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-05.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-05.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:40	103247/103247	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee3-1934f%22	https://colorlib.com/etc/pato/images/photo-gallery-06.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-06.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:40	31245/31245	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee6-7e6b%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-06.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-06.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:40	31861/31861	---M--	200	added ('OK')	image/jpeg	etag:%225a185eeb-8217%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-03.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-03.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:41	25246/25246	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee8-6563%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-07.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-07.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:41	83870/83870	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee2-1479e%22	https://colorlib.com/etc/pato/images/photo-gallery-07.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-07.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:41	41713/41713	---M--	200	added ('OK')	image/jpeg	etag:%225a185ed4-a9bd%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-09.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-09.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:41	185682/185682	---M--	200	added ('OK')	image/jpeg	etag:%225a185ecf-2d552%22	https://colorlib.com/etc/pato/images/photo-gallery-09.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-09.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:42	59431/59431	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee6-e827%22	https://colorlib.com/etc/pato/images/photo-gallery-10.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-10.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:42	19946/19946	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee4-5136%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-10.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-10.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:43	61774/61774	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee7-f14e%22	https://colorlib.com/etc/pato/images/photo-gallery-11.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-11.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:43	16764/16764	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee1-43f0%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-11.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-11.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:43	160635/160635	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec2-2737b%22	https://colorlib.com/etc/pato/images/slide1-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/slide1-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:43	87943/87943	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee1-15787%22	https://colorlib.com/etc/pato/images/master-slides-02.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/master-slides-02.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:44	83883/83883	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee5-148ba%22	https://colorlib.com/etc/pato/images/master-slides-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/master-slides-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:44	93277/93277	---M--	200	added ('OK')	image/jpeg	etag:%225a185ece-17315%22	https://colorlib.com/etc/pato/images/our-story-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/our-story-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:45	292490/292490	---M--	200	added ('OK')	image/jpeg	etag:%225a185ecb-47cdb%22	https://colorlib.com/etc/pato/images/bg-intro-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/bg-intro-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:45	133246/133246	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec3-21e13%22	https://colorlib.com/etc/pato/images/intro-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/intro-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:45	87376/87376	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec9-1617a%22	https://colorlib.com/etc/pato/images/intro-02.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/intro-02.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:45	55495/55495	---M--	200	added ('OK')	image/jpeg	etag:%225a185ed6-e27a%22	https://colorlib.com/etc/pato/images/intro-04.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/intro-04.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:45	97354/97354	---M--	200	added ('OK')	image/jpeg	etag:%225a185ed9-18754%22	https://colorlib.com/etc/pato/images/our-menu-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/our-menu-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:45	125515/125515	---M--	200	added ('OK')	image/jpeg	etag:%225a185edc-1f700%22	https://colorlib.com/etc/pato/images/our-menu-05.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/our-menu-05.jpg	(from https://colorlib.com/etc/pato/index.html)
