Antecedent;Consequent
 Beilage a 0,20|; BIO Molkerei 0,55 _|  O-Saft frisch| 
 BIO Molkerei 0,55 _|  Beilage a 0,20 ; O-Saft frisch   
 Beilage a 0,20|  O-Saft frisch ; BIO Molkerei 0,55 _   
 Gericht frei|; Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec| 
 Gericht frei|  Klassik Semmel 0,30 ; Breze 0,65|  Port. Butter Honig ec| 
 Gericht frei|  Port. Butter Honig ec ; Breze 0,65|  Klassik Semmel 0,30| 
 Breze 0,65|  Gericht frei ; Klassik Semmel 0,30|  Port. Butter Honig ec| 
 Breze 0,65|  Gericht frei|  Klassik Semmel 0,30 ; Port. Butter Honig ec   
 Breze 0,65|  Gericht frei|  Port. Butter Honig ec ; Klassik Semmel 0,30   
 Gericht frei|  Klassik Semmel 0,30|  Port. Butter Honig ec ; Breze 0,65   
 Salat Port.  0,60|; BIO Molkerei 0,80|  Obstbecher 0,90| 
 BIO Molkerei 0,80|  Salat Port.  0,60 ; Obstbecher 0,90   
 Obstbecher 0,90|  Salat Port.  0,60 ; BIO Molkerei 0,80   
 Fruchtsaft frisch|; Aktion 0,80|  Aktion 1,40|  O-Saft frisch|  belegte Backw. 2,30| 
 Aktion 0,80|  Aktion 1,40 ; O-Saft frisch|  belegte Backw. 2,30| 
 Aktion 0,80|  Fruchtsaft frisch ; Aktion 1,40|  O-Saft frisch|  belegte Backw. 2,30| 
 Aktion 1,40|  Fruchtsaft frisch ; Aktion 0,80|  O-Saft frisch|  belegte Backw. 2,30| 
 Aktion 1,40|  belegte Backw. 2,30 ; Aktion 0,80|  O-Saft frisch| 
 Fruchtsaft frisch|  Fruchtsaft frisch ; Aktion 0,80|  Aktion 1,40|  O-Saft frisch|  belegte Backw. 2,30| 
 Fruchtsaft frisch|  belegte Backw. 2,30 ; O-Saft frisch   
 Aktion 0,80|  Aktion 1,40|  Fruchtsaft frisch ; O-Saft frisch|  belegte Backw. 2,30| 
 Aktion 0,80|  Aktion 1,40|  belegte Backw. 2,30 ; O-Saft frisch   
 Aktion 0,80|  Fruchtsaft frisch|  belegte Backw. 2,30 ; Aktion 1,40|  O-Saft frisch| 
