Antecedent;Consequent
 Deprecziner Teller ,;Breze 0,65    
 Brot am Haken | Klassik Semmel 0,30 ; Obstbecher 0,90    
 PfÃ¤lzer Teller | Senf 0,1; Breze 0,65 | Port. Butter Honig ec |
 PfÃ¤lzer Teller | Port. Butter Honig e; Breze 0,65 | Senf 0,10 |
 Breze 0,65 | PfÃ¤lzer Teller | Port. Butter Honig e; Senf 0,10    
 Breze 0,65 | PfÃ¤lzer Teller | Senf 0,1; Port. Butter Honig ec    
 PfÃ¤lzer Teller | Port. Butter Honig ec | Senf 0,1; Breze 0,65    
 PfÃ¤lzer Teller | Semmel; Wiener Teller    
 PfÃ¤lzer Teller | Wiener Telle; Semmeln    
 Dinkelspitz | Ei 0,30 ; Port. Butter Honig ec    
 BIO Molkerei 0,80 | Dinkelspitz ; Marmelade 0,35 | Obst 0,40 | Port. Butter Honig ec | belegte Backw. 1,70 |
 BIO Molkerei 0,80 | Dinkelspitz | Marmelade 0,35 ; Obst 0,40 | Port. Butter Honig ec | belegte Backw. 1,70 |
 BIO Molkerei 0,80 | Dinkelspitz | Obst 0,40 ; Marmelade 0,35 | Port. Butter Honig ec | belegte Backw. 1,70 |
 BIO Molkerei 0,80 | Marmelade 0,35 | Obst 0,40 ; Port. Butter Honig ec | belegte Backw. 1,70 |
 BIO Molkerei 0,80 | Dinkelspitz | Port. Butter Honig ec ; Marmelade 0,35 | Obst 0,40 | belegte Backw. 1,70 |
 BIO Molkerei 0,80 | Dinkelspitz | Marmelade 0,35 | Obst 0,40 ; Port. Butter Honig ec | belegte Backw. 1,70 |
 BIO Molkerei 0,80 | Dinkelspitz | Marmelade 0,35 | Port. Butter Honig ec ; Obst 0,40 | belegte Backw. 1,70 |
 BIO Molkerei 0,80 | Dinkelspitz | Obst 0,40 | Port. Butter Honig ec ; Marmelade 0,35 | belegte Backw. 1,70 |
 BIO Molkerei 0,80 | Marmelade 0,35 | Obst 0,40 | Port. Butter Honig ec ; belegte Backw. 1,70    
 Dinkelspitz | belegte Backw. 1,70 ; BIO Molkerei 0,80 | Marmelade 0,35 | Obst 0,40 | Port. Butter Honig ec |
 BIO Molkerei 0,80 | Dinkelspitz | belegte Backw. 1,70 ; Marmelade 0,35 | Obst 0,40 | Port. Butter Honig ec |
 Dinkelspitz | Obst 0,40 | belegte Backw. 1,70 ; BIO Molkerei 0,80 | Marmelade 0,35 | Port. Butter Honig ec |
 BIO Molkerei 0,80 | Marmelade 0,35 | belegte Backw. 1,70 ; Obst 0,40 | Port. Butter Honig ec |
 Dinkelspitz | Marmelade 0,35 | belegte Backw. 1,70 ; BIO Molkerei 0,80 | Obst 0,40 | Port. Butter Honig ec |
 BIO Molkerei 0,80 | Port. Butter Honig ec | belegte Backw. 1,70 ; Obst 0,40    
 Dinkelspitz | Port. Butter Honig ec | belegte Backw. 1,70 ; BIO Molkerei 0,80 | Marmelade 0,35 | Obst 0,40 |
 Marmelade 0,35 | Obst 0,40 | belegte Backw. 1,70 ; Port. Butter Honig ec    
 Marmelade 0,35 | Port. Butter Honig ec | belegte Backw. 1,70 ; Obst 0,40    
 BIO Molkerei 0,80 | Dinkelspitz | Marmelade 0,35 | belegte Backw. 1,70 ; Obst 0,40 | Port. Butter Honig ec |
 BIO Molkerei 0,80 | Dinkelspitz | Obst 0,40 | belegte Backw. 1,70 ; Marmelade 0,35 | Port. Butter Honig ec |
 BIO Molkerei 0,80 | Marmelade 0,35 | Obst 0,40 | belegte Backw. 1,70 ; Port. Butter Honig ec    
 Dinkelspitz | Marmelade 0,35 | Obst 0,40 | belegte Backw. 1,70 ; BIO Molkerei 0,80 | Port. Butter Honig ec |
 BIO Molkerei 0,80 | Dinkelspitz | Port. Butter Honig ec | belegte Backw. 1,70 ; Marmelade 0,35 | Obst 0,40 |
 BIO Molkerei 0,80 | Obst 0,40 | Port. Butter Honig ec | belegte Backw. 1,70 ; Marmelade 0,35    
