Antecedent;Consequent
 Weißwurst|; Breze 0,65   
 Pfälzer Teller|; Breze 0,65|  Proz. Rabatt/Aufschl.| 
 Proz. Rabatt/Aufschl.|; Breze 0,65|  Pfälzer Teller| 
 Breze 0,65|  Pfälzer Teller ; Proz. Rabatt/Aufschl.   
 Breze 0,65|  Proz. Rabatt/Aufschl. ; Pfälzer Teller   
 Pfälzer Teller|  Proz. Rabatt/Aufschl. ; Breze 0,65   
 Breze 0,65|  Ei 0,30 ; Port. Butter Honig ec   
 Ei 0,30|  Port. Butter Honig ec ; Breze 0,65   
 Ei 0,30|  Marmelade 0,35 ; belegte Backw. 1,70   
 Ei 0,30|  belegte Backw. 1,70 ; Marmelade 0,35   
 Marmelade 0,35|  belegte Backw. 1,70 ; Ei 0,30   
 Kuchenhappen 1,40|  Molkereiprodukte 0,65 ; Obstbecher 0,90|  belegte Backw. 1,70| 
 Molkereiprodukte 0,65|  belegte Backw. 1,70 ; Obstbecher 0,90   
 Kuchenhappen 1,40|  Obstbecher 0,90 ; Molkereiprodukte 0,65|  belegte Backw. 1,70| 
 Kuchenhappen 1,40|  Molkereiprodukte 0,65|  Obstbecher 0,90 ; belegte Backw. 1,70   
 Kuchenhappen 1,40|  Molkereiprodukte 0,65|  belegte Backw. 1,70 ; Obstbecher 0,90   
 Kuchenhappen 1,40|  Obstbecher 0,90|  belegte Backw. 1,70 ; Molkereiprodukte 0,65   
 Molkereiprodukte 0,65|  Obstbecher 0,90|  belegte Backw. 1,70 ; Kuchenhappen 1,40   
 Kuchenhappen 1,40|  Müsli to go ; belegte Backw. 1,70   
 Brot am Haken|; O-Saft frisch   
 Brot am Haken|  Klassik Semmel 0,30 ; Leberkäse Semmel|  O-Saft frisch| 
 Brot am Haken|  Leberkäse Semmel ; Klassik Semmel 0,30|  O-Saft frisch| 
 Brot am Haken|  Klassik Semmel 0,30|  Leberkäse Semmel ; O-Saft frisch   
 Brot am Haken|  Klassik Semmel 0,30|  O-Saft frisch ; Leberkäse Semmel   
 Brot am Haken|  Leberkäse Semmel|  O-Saft frisch ; Klassik Semmel 0,30   
 BIO Frucht Buttermilch|  MüsliTeller ; belegte Backw. 1,40   
 BIO Frucht Buttermilch|  belegte Backw. 1,40 ; MüsliTeller   
 MüsliTeller|  belegte Backw. 1,40 ; BIO Frucht Buttermilch   
 Breze 0,65|  Weißwurst Teller ; Senf 0,10   
 Senf 0,10|  Weißwurst Teller ; Breze 0,65   
 O-Saft frisch|  Senf 0,10 ; Breze 0,65   
 O-Saft frisch|  Weißwurst Teller ; Breze 0,65|  Senf 0,10| 
 Breze 0,65|  O-Saft frisch|  Senf 0,10 ; Weißwurst Teller   
 Breze 0,65|  O-Saft frisch|  Weißwurst Teller ; Senf 0,10   
 O-Saft frisch|  Senf 0,10|  Weißwurst Teller ; Breze 0,65   
 Marmelade 0,35|  Teebeutel ; Molkereiprodukte 0,65   
 Molkereiprodukte 0,65|  Teebeutel ; Marmelade 0,35   
 BIO Back 0,45|  Obstbecher 0,90 ; Teebeutel   
 BIO Back 0,45|  Teebeutel ; Obstbecher 0,90   
 Obstbecher 0,90|  Teebeutel ; BIO Back 0,45   
 BIO Molkerei 0,55 _|  Käse-Mohn Breze ; Müsli to go   
 BIO Molkerei 0,55 _|  Müsli to go ; Käse-Mohn Breze   
 Käse-Mohn Breze|  Müsli to go ; BIO Molkerei 0,55 _   
 Backwaren Kuchen 1,30|  Debrecziner ; Klassik Semmel 0,30   
 Debrecziner|  Klassik Semmel 0,30 ; Backwaren Kuchen 1,30   
 Debrecziner|  Marmelade 0,35 ; Breze 0,65   
 Breze 0,65|  Käse-Mohn Breze ; Debrecziner   
 Debrecziner|  Käse-Mohn Breze ; Breze 0,65   
 Debrecziner|  Senf 0,10 ; Breze 0,65   
 BIO Molkerei 0,80|  Croissant 0,90 ; Breze 0,65   
 Breze 0,65|  Croissant 0,90 ; BIO Molkerei 0,80   
 Croissant 0,90|  Molkereiprodukte 0,65 ; Port. Butter Honig ec   
 BIO Back 0,45|  Leberkäse Teller ; Senf 0,10   
 BIO Back 0,45|  Senf 0,10 ; Leberkäse Teller   
 Leberkäse Teller|  Senf 0,10 ; BIO Back 0,45   
 BIO Molkerei 0,80|  Leberkäse Teller ; Kornsemmel 0,40|  Käse-Mohn Breze| 
 BIO Molkerei 0,80|  Käse-Mohn Breze ; Kornsemmel 0,40   
 BIO Molkerei 0,80|  Kornsemmel 0,40|  Käse-Mohn Breze ; Leberkäse Teller   
 BIO Molkerei 0,80|  Kornsemmel 0,40|  Leberkäse Teller ; Käse-Mohn Breze   
 BIO Molkerei 0,80|  Käse-Mohn Breze|  Leberkäse Teller ; Kornsemmel 0,40   
 Leberkäse Teller|  Obst 0,40 ; Semmeln   
 Leberkäse Teller|  Port. Butter Honig ec ; Breze 0,65|  O-Saft frisch|  Obstbecher 0,90| 
 Leberkäse Teller|  Obstbecher 0,90 ; Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec| 
 Breze 0,65|  Leberkäse Teller|  Obstbecher 0,90 ; O-Saft frisch|  Port. Butter Honig ec| 
 Breze 0,65|  Leberkäse Teller|  Port. Butter Honig ec ; O-Saft frisch|  Obstbecher 0,90| 
 Leberkäse Teller|  Obstbecher 0,90|  Port. Butter Honig ec ; Breze 0,65|  O-Saft frisch| 
 Leberkäse Teller|  O-Saft frisch ; Breze 0,65|  Obstbecher 0,90|  Port. Butter Honig ec| 
 Leberkäse Teller|  O-Saft frisch|  Obstbecher 0,90 ; Breze 0,65|  Port. Butter Honig ec| 
 Leberkäse Teller|  O-Saft frisch|  Port. Butter Honig ec ; Breze 0,65|  Obstbecher 0,90| 
 Breze 0,65|  Leberkäse Teller|  O-Saft frisch ; Obstbecher 0,90|  Port. Butter Honig ec| 
 Breze 0,65|  Leberkäse Teller|  O-Saft frisch|  Obstbecher 0,90 ; Port. Butter Honig ec   
 Breze 0,65|  Leberkäse Teller|  O-Saft frisch|  Port. Butter Honig ec ; Obstbecher 0,90   
 Breze 0,65|  Leberkäse Teller|  Obstbecher 0,90|  Port. Butter Honig ec ; O-Saft frisch   
 Leberkäse Teller|  O-Saft frisch|  Obstbecher 0,90|  Port. Butter Honig ec ; Breze 0,65   
 Kornsemmel 0,40|  Käse-Mohn Breze ; Leberkäse Teller   
 Kornsemmel 0,40|  Leberkäse Teller ; Käse-Mohn Breze   
 Käse-Mohn Breze|  Leberkäse Teller ; Kornsemmel 0,40   
 BIO Joghurt Frucht|  Kornsemmel 0,40 ; Breze 0,65|  O-Saft frisch|  Obstbecher 0,90|  Port. Butter Honig ec| 
 BIO Joghurt Frucht|  Port. Butter Honig ec ; Breze 0,65|  Kornsemmel 0,40|  O-Saft frisch|  Obstbecher 0,90| 
 BIO Joghurt Frucht|  Obstbecher 0,90 ; Breze 0,65|  Kornsemmel 0,40|  O-Saft frisch|  Port. Butter Honig ec| 
 BIO Joghurt Frucht|  Kornsemmel 0,40|  Obstbecher 0,90 ; Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec| 
 BIO Joghurt Frucht|  Kornsemmel 0,40|  Port. Butter Honig ec ; Breze 0,65|  O-Saft frisch|  Obstbecher 0,90| 
 BIO Joghurt Frucht|  Obstbecher 0,90|  Port. Butter Honig ec ; Breze 0,65|  Kornsemmel 0,40|  O-Saft frisch| 
 BIO Joghurt Frucht|  Breze 0,65 ; Kornsemmel 0,40|  O-Saft frisch|  Obstbecher 0,90|  Port. Butter Honig ec| 
 BIO Joghurt Frucht|  Breze 0,65|  Obstbecher 0,90 ; Kornsemmel 0,40|  O-Saft frisch|  Port. Butter Honig ec| 
 BIO Joghurt Frucht|  Breze 0,65|  Port. Butter Honig ec ; Kornsemmel 0,40|  O-Saft frisch|  Obstbecher 0,90| 
 BIO Joghurt Frucht|  Breze 0,65|  Kornsemmel 0,40 ; O-Saft frisch|  Obstbecher 0,90|  Port. Butter Honig ec| 
 Breze 0,65|  Kornsemmel 0,40|  Obstbecher 0,90 ; O-Saft frisch|  Port. Butter Honig ec| 
 Breze 0,65|  Kornsemmel 0,40|  Port. Butter Honig ec ; O-Saft frisch|  Obstbecher 0,90| 
 BIO Joghurt Frucht|  Breze 0,65|  Kornsemmel 0,40|  Obstbecher 0,90 ; O-Saft frisch|  Port. Butter Honig ec| 
 BIO Joghurt Frucht|  Breze 0,65|  Kornsemmel 0,40|  Port. Butter Honig ec ; O-Saft frisch|  Obstbecher 0,90| 
 BIO Joghurt Frucht|  Breze 0,65|  Obstbecher 0,90|  Port. Butter Honig ec ; Kornsemmel 0,40|  O-Saft frisch| 
 BIO Joghurt Frucht|  Kornsemmel 0,40|  Obstbecher 0,90|  Port. Butter Honig ec ; Breze 0,65|  O-Saft frisch| 
 Breze 0,65|  Kornsemmel 0,40|  Obstbecher 0,90|  Port. Butter Honig ec ; O-Saft frisch   
 BIO Joghurt Frucht|  O-Saft frisch ; Breze 0,65|  Kornsemmel 0,40|  Obstbecher 0,90|  Port. Butter Honig ec| 
 BIO Joghurt Frucht|  Breze 0,65|  O-Saft frisch ; Kornsemmel 0,40|  Obstbecher 0,90|  Port. Butter Honig ec| 
 BIO Joghurt Frucht|  O-Saft frisch|  Obstbecher 0,90 ; Breze 0,65|  Kornsemmel 0,40|  Port. Butter Honig ec| 
