Antecedent;Consequent
 Beilage a 0,20|; Kornsemmel 0,40|  Obstteller|  Suppe 1,00| 
 Beilage a 0,20|  Kornsemmel 0,40 ; Obstteller|  Suppe 1,00| 
 Beilage a 0,20|  Obstteller ; Kornsemmel 0,40|  Suppe 1,00| 
 Beilage a 0,20|  Suppe 1,00 ; Kornsemmel 0,40|  Obstteller| 
 Beilage a 0,20|  Kornsemmel 0,40|  Obstteller ; Suppe 1,00   
 Beilage a 0,20|  Kornsemmel 0,40|  Suppe 1,00 ; Obstteller   
 Beilage a 0,20|  Obstteller|  Suppe 1,00 ; Kornsemmel 0,40   
 Kornsemmel 0,40|  Obstteller|  Suppe 1,00 ; Beilage a 0,20   
 belegte Backw. 1,40|; Breze 0,65|  Obst 0,40|  SalatTeller|  Suppe 1,00| 
 Breze 0,65|  belegte Backw. 1,40 ; Obst 0,40|  SalatTeller|  Suppe 1,00| 
 Obst 0,40|  belegte Backw. 1,40 ; Breze 0,65|  SalatTeller|  Suppe 1,00| 
 Obst 0,40|  Suppe 1,00 ; Breze 0,65|  SalatTeller| 
 Suppe 1,00|  belegte Backw. 1,40 ; Breze 0,65|  Obst 0,40|  SalatTeller| 
 SalatTeller|  belegte Backw. 1,40 ; Breze 0,65|  Obst 0,40|  Suppe 1,00| 
 Breze 0,65|  Obst 0,40|  Suppe 1,00 ; SalatTeller   
 Breze 0,65|  Obst 0,40|  belegte Backw. 1,40 ; SalatTeller|  Suppe 1,00| 
 Breze 0,65|  Suppe 1,00|  belegte Backw. 1,40 ; Obst 0,40|  SalatTeller| 
 Obst 0,40|  Suppe 1,00|  belegte Backw. 1,40 ; Breze 0,65|  SalatTeller| 
 Breze 0,65|  SalatTeller|  belegte Backw. 1,40 ; Obst 0,40|  Suppe 1,00| 
 Obst 0,40|  SalatTeller|  belegte Backw. 1,40 ; Breze 0,65|  Suppe 1,00| 
 Obst 0,40|  SalatTeller|  Suppe 1,00 ; Breze 0,65   
 SalatTeller|  Suppe 1,00|  belegte Backw. 1,40 ; Breze 0,65|  Obst 0,40| 
 Breze 0,65|  Obst 0,40|  SalatTeller|  Suppe 1,00 ; belegte Backw. 1,40   
 Breze 0,65|  Obst 0,40|  SalatTeller|  belegte Backw. 1,40 ; Suppe 1,00   
 Breze 0,65|  Obst 0,40|  Suppe 1,00|  belegte Backw. 1,40 ; SalatTeller   
 Breze 0,65|  SalatTeller|  Suppe 1,00|  belegte Backw. 1,40 ; Obst 0,40   
 Obst 0,40|  SalatTeller|  Suppe 1,00|  belegte Backw. 1,40 ; Breze 0,65   
 Währungsumstellung|; Key/Card-Aufladung   
 BIO Molkerei 0,50|  BeiwerkTeller ; Obstteller|  Salat Schale| 
 BIO Molkerei 0,50|  Salat Schale ; BeiwerkTeller|  Obstteller| 
 BIO Molkerei 0,50|  BeiwerkTeller|  Obstteller ; Salat Schale   
 BIO Molkerei 0,50|  BeiwerkTeller|  Salat Schale ; Obstteller   
 BIO Molkerei 0,50|  Obstteller|  Salat Schale ; BeiwerkTeller   
 BeiwerkTeller|  Obstteller|  Salat Schale ; BIO Molkerei 0,50   
 BIO Molkerei 0,50|  Beilage a 0,45 ; Obstteller   
 BIO Molkerei 0,50|  Salat Port.  0,60 ; Beilage a 0,45|  Obstteller| 
 BIO Molkerei 0,50|  Obstteller|  Salat Port.  0,60 ; Beilage a 0,45   
 BIO Molkerei 0,50|  Obstteller ; Beilage a 0,45   
 Beilage a 0,45|  Beilage a 0,45 ; Salat Port.  0,60   
 BIO Molkerei 0,50|  Beilage a 0,45|  Beilage a 0,45 ; Obstteller   
 Beilage a 0,45|  Beilage a 0,45|  Obstteller ; Salat Port.  0,60   
 Butterbreze 1,10|; Salat Schale   
