Antecedent;Consequent
 Molkereiprodukte 1,10|; Beilage a 0,45|  Dessert a 1,20| 
 Beilage a 0,45|  Molkereiprodukte 1,10 ; Dessert a 1,20   
 Dessert a 1,20|  Molkereiprodukte 1,10 ; Beilage a 0,45   
 Weißwurst Teller|; Key/Card-Aufladung   
 Beilage a 0,45|  Gutschein O-Saft ; O-Saft frisch   
 Gutschein O-Saft|  O-Saft frisch ; Beilage a 0,45   
 Deprecziner Teller|  Ei 0,30 ; Breze 0,65|  O-Saft frisch| 
 Breze 0,65|  Deprecziner Teller ; Ei 0,30|  O-Saft frisch| 
 Breze 0,65|  Deprecziner Teller|  Ei 0,30 ; O-Saft frisch   
 Breze 0,65|  Deprecziner Teller|  O-Saft frisch ; Ei 0,30   
 Deprecziner Teller|  Ei 0,30|  O-Saft frisch ; Breze 0,65   
 Deprecziner Teller|  Pfälzer Teller ; Backwaren Kuchen 1,30|  O-Saft frisch|  Port. Butter Honig ec| 
 O-Saft frisch|  Pfälzer Teller ; Backwaren Kuchen 1,30|  Port. Butter Honig ec| 
 Deprecziner Teller|  Port. Butter Honig ec ; Backwaren Kuchen 1,30|  O-Saft frisch|  Pfälzer Teller| 
 Pfälzer Teller|  Port. Butter Honig ec ; Backwaren Kuchen 1,30|  O-Saft frisch| 
 Deprecziner Teller|  O-Saft frisch|  Pfälzer Teller ; Backwaren Kuchen 1,30|  Port. Butter Honig ec| 
 Deprecziner Teller|  O-Saft frisch|  Port. Butter Honig ec ; Backwaren Kuchen 1,30|  Pfälzer Teller| 
 Deprecziner Teller|  Pfälzer Teller|  Port. Butter Honig ec ; Backwaren Kuchen 1,30|  O-Saft frisch| 
 O-Saft frisch|  Pfälzer Teller|  Port. Butter Honig ec ; Backwaren Kuchen 1,30   
 Backwaren Kuchen 1,30|  Deprecziner Teller ; O-Saft frisch|  Pfälzer Teller|  Port. Butter Honig ec| 
 Backwaren Kuchen 1,30|  Pfälzer Teller ; O-Saft frisch|  Port. Butter Honig ec| 
 Backwaren Kuchen 1,30|  Deprecziner Teller|  Pfälzer Teller ; O-Saft frisch|  Port. Butter Honig ec| 
 Backwaren Kuchen 1,30|  Deprecziner Teller|  Port. Butter Honig ec ; O-Saft frisch|  Pfälzer Teller| 
 Backwaren Kuchen 1,30|  Pfälzer Teller|  Port. Butter Honig ec ; O-Saft frisch   
 Backwaren Kuchen 1,30|  Deprecziner Teller|  O-Saft frisch ; Pfälzer Teller|  Port. Butter Honig ec| 
 Backwaren Kuchen 1,30|  O-Saft frisch|  Pfälzer Teller ; Port. Butter Honig ec   
 Backwaren Kuchen 1,30|  Deprecziner Teller|  O-Saft frisch|  Pfälzer Teller ; Port. Butter Honig ec   
 Backwaren Kuchen 1,30|  Deprecziner Teller|  O-Saft frisch|  Port. Butter Honig ec ; Pfälzer Teller   
 Backwaren Kuchen 1,30|  Deprecziner Teller|  Pfälzer Teller|  Port. Butter Honig ec ; O-Saft frisch   
 Backwaren Kuchen 1,30|  O-Saft frisch|  Pfälzer Teller|  Port. Butter Honig ec ; Deprecziner Teller   
 Deprecziner Teller|  O-Saft frisch|  Pfälzer Teller|  Port. Butter Honig ec ; Backwaren Kuchen 1,30   
 Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec| 
 Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch| 
 Breze 0,65|  O-Saft frisch|  Proz. Rabatt/Aufschl. ; Klassik Semmel 0,30   
 Breze 0,65|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec| 
 O-Saft frisch|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec| 
 O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30| 
 Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch| 
 Breze 0,65|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch| 
 Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; BIO Molkerei 0,55 _|  Klassik Semmel 0,30| 
 Breze 0,65|  O-Saft frisch|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  Port. Butter Honig ec| 
 Breze 0,65|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch| 
 O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30| 
 BIO Molkerei 0,55 _|  Proz. Rabatt/Aufschl. ; Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Wiener Teller ; Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  O-Saft frisch|  Proz. Rabatt/Aufschl. ; Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  O-Saft frisch|  Wiener Teller ; Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Proz. Rabatt/Aufschl. ; Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Wiener Teller ; Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch| 
 BIO Molkerei 0,55 _|  Port. Butter Honig ec|  Wiener Teller ; Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  O-Saft frisch|  Port. Butter Honig ec ; Breze 0,65   
 BIO Molkerei 0,55 _|  Breze 0,65|  Port. Butter Honig ec ; O-Saft frisch   
 BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Proz. Rabatt/Aufschl. ; Klassik Semmel 0,30|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Wiener Teller ; Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec| 
